ogham_id,ciic,title,findspot_county,findspot_country,findspot_lat,findspot_lon,keeper,keeper_qid,keeper_lat,keeper_lon,keeper_source,distance_km
E-CON-005,-,Pennwydh | Penwith,Cornwall,England,50.088333,-5.545833,Royal Cornwall Museum,Q1251321,50.2637,-5.0548,wikidata,40.0
E-DEV-001,489,Fardel,Devon,England,50.400019,-3.955761,British Museum,Q6373,51.519444,-0.126944,wikidata,295.6
E-HAM-001,496,Silchester,Hampshire,England,51.357914,-1.019333,Reading Museum,Q6941004,51.457134,-0.969885,wikidata,11.6
E-NFK-001,,Weeting-with-Broomhill,Norfolk,England,52.477039,0.581231,Norwich Castle Museum,Q55361621,52.6286,1.2964,wikidata,51.2
E-WAR-001,,Coventry,Warwickshire,England,52.398772,-1.457633,Herbert Art Gallery and Museum,Q917262,52.407222,-1.506222,wikidata,3.4
E-WRY-001,,Vale of York brooch fragment,West Riding of Yorkshire,England,53.989228,-1.530225,British Museum,Q6373,51.519444,-0.126944,wikidata,290.4
I-ANT-002,310,Carn Coim | Carncome 2,Co. Antrim,Northern Ireland,54.8045,-6.1961,National Museum of Ireland,Q1672840,53.340278,-6.254722,wikidata,162.9
I-ARM-001,311,Droim Conmhaoil | Drumconwell,Co. Armagh,Northern Ireland,54.302925,-6.651108,Armagh Robinson library (No 5 Vicars’ Hill Museum),Q17779528,54.3486,-6.65715,wikidata,5.1
I-CAR-004,17,Tuca Mín | Tuckamine,Co. Carlow,Ireland,52.84355,-6.72916,National Museum of Ireland,Q1672840,53.340278,-6.254722,wikidata,63.7
I-CLA-003,53,Inis | Ennis bead,Co. Clare,Ireland,52.840588,-8.978509,British Museum,Q6373,51.519444,-0.126944,wikidata,620.7
I-COR-009,61,Oileán an Easpaig | Bishop’s Island,Co. Cork,Ireland,52.004,-8.358,University College Cork,Q1574185,51.89291,-8.49289,wikidata,15.4
