ogham_id,ciic,title,reading_id,editor,script,is_current_edition,word,mode,variant,token,translation,wikidata,reference,reading_text
E-CON-002,466,Lannwenek | Lewannick 1,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,MEMOR,formula,MEMOR,MEMOR,"memorial, tombstone",,"McManus 1991,§6.27",IGENAVI MEMOR
E-CON-003,467,Lannwenek | Lewannick 2,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,ULCAGNI,compound,ULCAGNI,ULCAGNI,evil,,"McManus 1991,§6.12",UDSAGQI ULCAGNI
E-CON-X02,457,Lancarffe,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,CATTU,element,CATI,DVNOCATI,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",DVNOCATI HIC IACIT FILI MESCAGNI
E-CON-X02,457,Lancarffe,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,CATTU,element,CAT,DVNOCATI,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",DVNOCATI HIC IACIT FILI MESCAGNI
E-CON-X02,457,Lancarffe,OKA1993,O’Kelly 1993,roman,no,CATTU,element,CATI,DVNOCATI,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",DVNOCATI HIC IACIT FILI MESCAGNI
E-CON-X02,457,Lancarffe,OKA1993,O’Kelly 1993,roman,no,CATTU,element,CAT,DVNOCATI,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",DVNOCATI HIC IACIT FILI MESCAGNI
E-CON-X02,457,Lancarffe,MAC1945,Macalister 1945,roman,no,CATTU,element,CATI,DVNOCATI,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",DVNOCATI HIC IACIT FILI MERCAGNI
E-CON-X02,457,Lancarffe,MAC1945,Macalister 1945,roman,no,CATTU,element,CAT,DVNOCATI,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",DVNOCATI HIC IACIT FILI MERCAGNI
E-CON-X02,457,Lancarffe,MAC1945,Macalister 1945,roman,no,ERC,element,ERCA,MERCAGNI,god,http://www.wikidata.org/entity/Q67382360,"McManus 1991,§6.5",DVNOCATI HIC IACIT FILI MERCAGNI
E-CON-X02,457,Lancarffe,MAC1945,Macalister 1945,roman,no,ERC,element,ERC,MERCAGNI,god,http://www.wikidata.org/entity/Q67382360,"McManus 1991,§6.5",DVNOCATI HIC IACIT FILI MERCAGNI
E-CON-X03,473,St Clement,MAC1945,Macalister 1945,ogham,no,MAQI,formula,MAQI,MAQI,son,http://www.wikidata.org/entity/Q67381254,"McManus 1991,§6.27",VITALI MAQI TORICI
E-CON-X04,478,St Endellion,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,BROCAGNI,compound,BROCAGNI,BROCAGNI,badger,,"McManus 1991,§6.12",BROCAGNI IHCHIC IACIT NADOTTI FILIVS
E-CON-X04,478,St Endellion,Macalister 1945,Macalister 1945,roman,no,BROCAGNI,compound,BROCAGNI,BROCAGNI,badger,,"McManus 1991,§6.12",BROCAGNI IHC IACIT NADOTTI FILIVS
E-CON-X04,478,St Endellion,Macalister 1945,Macalister 1945,ogham,no,BROCAGNI,compound,BROCAGNI,BROCAGNI,badger,,"McManus 1991,§6.12",BROCAGNI
E-DEV-001,489,Fardel,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,MAQI,formula,MAQI,MAQI,son,http://www.wikidata.org/entity/Q67381254,"McManus 1991,§6.27",SVAQQUCI MAQI QICI
E-DEV-001,489,Fardel,Sims-Williams 2003,Sims-Williams 2003,ogham,no,MAQI,formula,MAQI,MAQI,son,http://www.wikidata.org/entity/Q67381254,"McManus 1991,§6.27",SVA[NN]UCI MAQI [R]I[N]I
E-DEV-001,489,Fardel,Macalister 1945,Macalister 1945,ogham,no,MAQI,formula,MAQI,MAQI,son,http://www.wikidata.org/entity/Q67381254,"McManus 1991,§6.27",SVAQQUCI MAQI QICI
E-DEV-002,488,Roborough Down,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,BARR,element,BARR,ENABARRI,"top, head, hear of the head",,"McManus 1991,§6.4",ENABARRI
E-DEV-002,488,Roborough Down,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,BARR,element,BAR,ENABARRI,"top, head, hear of the head",,"McManus 1991,§6.4",ENABARRI
E-DEV-002,488,Roborough Down,Macalister 1945,Macalister 1945,ogham,no,BARR,element,BARR,ENABARR,"top, head, hear of the head",,"McManus 1991,§6.4",ENABARR
E-DEV-002,488,Roborough Down,Macalister 1945,Macalister 1945,ogham,no,BARR,element,BAR,ENABARR,"top, head, hear of the head",,"McManus 1991,§6.4",ENABARR
E-DEV-002,488,Roborough Down,Macalister 1945,Macalister 1945,roman,no,BARR,element,BARR,ENABARRI,"top, head, hear of the head",,"McManus 1991,§6.4",DOBVNNI FABRI FILII ENABARRI
E-DEV-002,488,Roborough Down,Macalister 1945,Macalister 1945,roman,no,BARR,element,BAR,ENABARRI,"top, head, hear of the head",,"McManus 1991,§6.4",DOBVNNI FABRI FILII ENABARRI
E-HAM-001,496,Silchester,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,MAQI,formula,MAQI,MAQI,son,http://www.wikidata.org/entity/Q67381254,"McManus 1991,§6.27",TEBICATOS MAQI MUCOI ...
E-HAM-001,496,Silchester,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,MUCOI,formula,MUCOI,MUCOI,"túath, tribe",http://www.wikidata.org/entity/Q67999759,"McManus 1991,§6.27",TEBICATOS MAQI MUCOI ...
E-HAM-001,496,Silchester,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,CATTU,element,CATOS,TEBICATOS,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",TEBICATOS MAQI MUCOI ...
E-HAM-001,496,Silchester,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,CATTU,element,CAT,TEBICATOS,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",TEBICATOS MAQI MUCOI ...
E-HAM-001,496,Silchester,unattributed,unattributed reading,ogham,no,CATTU,element,CAT,TEBICATOB,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",TEBICATOḄ[.. ? ..]ḤIMUCO[---]
E-HAM-001,496,Silchester,FUL2000,Fulford 2000,ogham,no,CATTU,element,CATOS,TEBICATOS,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",TEBICATO[S]
E-HAM-001,496,Silchester,FUL2000,Fulford 2000,ogham,no,CATTU,element,CAT,TEBICATOS,battle,http://www.wikidata.org/entity/Q67383338,"McManus 1991,§6.3",TEBICATO[S]
I-ANT-001,309,Carn Coim | Carncome 1,OGHAM_NW,OG(H)AM edition (NW),ogham,yes,MAQI,formula,MAQI,MAQI,son,http://www.wikidata.org/entity/Q67381254,"McManus 1991,§6.27",TORAESCEUSAS MAQI MUCOI MEUTINI
