file,ogham_id,stone_key,title,ciic,cisp,cisp_url,tm,smr,repository,pn_building,pn_graveyard,pn_ecclesiastical_site,pn_site,pn_lake,pn_townland,pn_civil_parish,pn_parish,pn_town,pn_city,pn_sheading,pn_county,pn_region,pn_island,pn_historical,pn_country,pn_vernacular,geo_source,geo_note,geo_qid,geo_settled,gazetteer_uris,geo_raw,geo_cert,geo_hedge,geo_status,lat,lon,grid_raw,origplace_text
E-CON-001.xml,E-CON-001,E-CON-001,Worthyvale,470,WVALE/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/wvale_1.html,168506,,,,,,,,,,Forrabury and Minster,,,,Cornwall,,,,England,,,,,,,"50.640058, -4.675453",,,asserted,50.640058,-4.675453,SX 1092 8568,"Forrabury and Minster, Cornwall England 50.640058, -4.675453 National Grid Reference: SX 1092 8568"
E-CON-002.xml,E-CON-002,E-CON-002,Lannwenek | Lewannick 1,466,LWNCK/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/lwnck_1.html,172292,,,,,,,,,,Lewannick,,,,Cornwall,,,,England,,,,,,,"50.600492, -4.437475",,,asserted,50.600492,-4.437475,SX 2760 8070,"Lewannick, Cornwall England 50.600492, -4.437475 National Grid Reference: SX 2760 8070"
E-CON-003.xml,E-CON-003,E-CON-003,Lannwenek | Lewannick 2,467,LWNCK/2,https://www.ucl.ac.uk/archaeology/cisp/database/stone/lwnck_2.html,172763,,,,,,,,,,Lewannick,,,,Cornwall,,,,England,,,,,,,"50.600492, -4.437476",,,asserted,50.600492,-4.437476,SX 2760 8070,"Lewannick, Cornwall England 50.600492, -4.437476 National Grid Reference: SX 2760 8070"
E-CON-004.xml,E-CON-004,E-CON-004,Lanndohow | St Kew,484,STKEW/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/stkew_1.html,172385,,,,,,,,,,St Kew,,,,Cornwall,,,,England,,,,,,,"50.558014, -4.794633",,,asserted,50.558014,-4.794633,SX 0215 7687,"St Kew, Cornwall England 50.558014, -4.794633 National Grid Reference: SX 0215 7687"
E-CON-005.xml,E-CON-005,E-CON-005,Pennwydh | Penwith,-,x,,,,Royal Cornwall Museum,,,,,,,,Penzance | Penwith,,,,Cornwall,,,,England,,,,,,,"50.088333, -5.545833",,,asserted,50.088333,-5.545833,SW 46459 26933,"Penzance | Penwith, Cornwall England 50.088333, -5.545833 National Grid Reference: SW 46459 26933"
E-CON-X01.xml,E-CON-X01,E-CON-X01,Lewannick 3,,LWNCC/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/lwncc_1.html,,,,,,,,,,,Lewannick,,,,Cornwall,,,,England,,,,,,,"50.594025, -4.445619",,,asserted,50.594025,-4.445619,SX 2700 8000,"Lewannick, Cornwall England 50.594025, -4.445619 National Grid Reference: SX 2700 8000"
E-CON-X02.xml,E-CON-X02,E-CON-X02,Lancarffe,457,LCARF/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/lcarf_1.html,173851,,,,,,,,,,Helland,,,,Cornwall,,,,England,,,,,,,"50.489336, -4.705275",,,asserted,50.489336,-4.705275,SX 0820 6900,"Helland, Cornwall, England 50.489336, -4.705275 National Grid Reference: SX 0820 6900"
E-CON-X03.xml,E-CON-X03,E-CON-X03,St Clement,473,SCLEM/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/sclem_1.html,168498,,,,,,,,,,St Clement,,,,Cornwall,,,,England,,,,,,,"50.255903, -5.016133",,,asserted,50.255903,-5.016133,SW 8510 4390,"St Clement, Cornwall England 50.255903, -5.016133 National Grid Reference: SW 8510 4390"
E-CON-X04.xml,E-CON-X04,E-CON-X04,St Endellion,478,SENDL/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/sendl_1.html,168504,,,,,,,,,,St Endellion,,,,Cornwall,,,,England,,,,,,,"50.582325, -4.841989",,,asserted,50.582325,-4.841989,SW 9890 7970,"St Endellion, Cornwall England 50.582325, -4.841989 National Grid Reference: SW 9890 7970"
E-DEV-001.xml,E-DEV-001,E-DEV-001,Fardel,489,FARDL/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/fardl_1.html,168513,,British Museum,,,,,,,,Cornwood,,,,Devon,,,,England,,,,,,,"50.400019, -3.955761",,,asserted,50.400019,-3.955761,SX 6110 5740,"Cornwood, Devon England 50.400019, -3.955761 National Grid Reference: SX 6110 5740"
E-DEV-002.xml,E-DEV-002,E-DEV-002,Roborough Down,488,TVST3/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/tvst3_1.html,173860,,,,,,,,,,Buckland Monachorum,,,,Devon,,,,England,,,,,,,"50.503978, -4.130694",,,asserted,50.503978,-4.130694,SX 4900 6930,"Buckland Monachorum, Devon England 50.503978, -4.130694 National Grid Reference: SX 4900 6930"
E-DEV-X01.xml,E-DEV-X01,E-DEV-X01,Brendon,,,,,,,,,,,,,,Brendon,,,,Devon,,,,England,,,,,,,"51.199733, -3.810378",,,asserted,51.199733,-3.810378,SS 7361 4606,"Brendon, Devon England 51.199733, -3.810378 National Grid Reference: SS 7361 4606"
E-HAM-001.xml,E-HAM-001,E-HAM-001,Silchester,496,SILCH/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/silch_1.html,172377,,Reading Museum,,,,,,,,Silchester Roman Town,,,,Hampshire,,,,England,,,,,,,"51.357914, -1.019333",,,asserted,51.357914,-1.019333,SU 6838 6255,"Silchester Roman Town, Hampshire England 51.357914, -1.019333 National Grid Reference: SU 6838 6255"
E-NFK-001.xml,E-NFK-001,E-NFK-001,Weeting-with-Broomhill,,,,,,Norwich Castle Museum,,,,,,,,Weeting-with-Broomhill,,,,Norfolk,,,,England,,,,,,,"52.477039, 0.581231",,,asserted,52.477039,0.581231,TL 7540 8970,"Weeting-with-Broomhill, Norfolk, England 52.477039, 0.581231 National Grid Reference: TL 7540 8970"
E-STS-001.xml,E-STS-001,E-STS-001,Uttoxeter,,,,,,,,,,,,,,Uttoxeter,,,,Staffordshire,,,,England,,,,,,,"52.8983, -1.8678",,,asserted,52.8983,-1.8678,SK 0949 3264,"Uttoxeter, Staffordshire England 52.8983, -1.8678 approx. National Grid Reference: SK 0949 3264"
E-WAR-001.xml,E-WAR-001,E-WAR-001,Coventry,,,,,,Herbert Art Gallery and Museum,,,,,,,,Binley and Willenhall,,,,Warwickshire,,,,England,,,,,,,"52.398772, -1.457633",,,asserted,52.398772,-1.457633,SP 37 78,"Binley and Willenhall, Warwickshire, England 52.398772, -1.457633 National Grid Reference: SP 37 78"
E-WRY-001.xml,E-WRY-001,E-WRY-001,Vale of York brooch fragment,,,,,,British Museum,,,,,,,,Harrogate,,,,West Riding of Yorkshire,,,,England,,,,,,,"53.989228, -1.530225",,,asserted,53.989228,-1.530225,SE 3090 5490,"Harrogate, West Riding of Yorkshire, England 53.989228, -1.530225 National Grid Reference: SE 3090 5490"
