ogham_id,ciic,title,script,editor,similarity,band,formula_gained,formula_lost,only_in_current_edition,only_in_this_reading,current_edition_text,this_reading_text
E-CON-001,470,Worthyvale,ogham,Macalister 1945,0.444,far apart,,,GNI,LATINI,[---]GNI,LA[TI]NI
E-CON-X03,473,St Clement,ogham,Macalister 1945,0.333,far apart,MAQI,,IGNIOC,VITALI MAQI TORICI,IGNIOC,VITALI MAQI TORICI
E-CON-X04,478,St Endellion,ogham,Macalister 1945,0.364,far apart,,,IHCHIC IACIT NADOTTI FILIVS,,BROCAGNI IHCHIC IACIT NADOTTI FILIVS,BROCAGNI
E-DEV-001,489,Fardel,ogham,Sims-Williams 2003,0.778,diverging,,,SVAQQUCI QICI,SVANNUCI RINI,SVAQQUCI MAQI QICI,SVA[NN]UCI MAQI [R]I[N]I
E-DEV-001,489,Fardel,ogham,Macalister 1945,1.000,identical,,,,,SVAQQUCI MAQI QICI,SVAQQUCI MAQI QICI
E-DEV-002,488,Roborough Down,ogham,Macalister 1945,0.933,close,,,ENABARRI,ENABARR,ENABARRI,ENABARR
E-HAM-001,496,Silchester,ogham,unattributed reading,0.778,diverging,,MAQI MUCOI,TEBICATOS MAQI MUCOI,TEBICATOB HIMUCO,TEBICATOS MAQI MUCOI ...,TEBICATOḄ[.. ? ..]ḤIMUCO[---]
E-HAM-001,496,Silchester,ogham,Fulford 2000,0.621,diverging,,MAQI MUCOI,MAQI MUCOI,,TEBICATOS MAQI MUCOI ...,TEBICATO[S]
E-NFK-001,,Weeting-with-Broomhill,ogham,Clarke 1952,0.977,close,,,EVUTUSUDUO,EVUTUSUDU,EVUTUSUDUO GEDEVIMUTOS,EVUTUSUD(U) GEDEVI(MUTO)S
E-NFK-001,,Weeting-with-Broomhill,ogham,Clarke 1952,0.233,far apart,,,EVUTUSUDUO GEDEVIMUTOS,ULUCUVUTE COVUMITELEG,EVUTUSUDUO GEDEVIMUTOS,(U)LUCUVUTE C(OVUM)ITELEG
E-NFK-001,,Weeting-with-Broomhill,ogham,Johnson 2020,0.611,diverging,,,,OR ULUCUVUTE OR COVUMITELEG,EVUTUSUDUO GEDEVIMUTOS,EVUTUSUD(U/O) or (U)LUCUVUTE GEDEVI(MUTO)S or C(OVUM)ITELEG
E-WRY-001,,Vale of York brooch fragment,ogham,Johnson 2020,0.909,close,,,ATFCA,ATFCAM,᚛ATFCA᚜,ATFC[A/M]
I-ANT-001,309,Carn Coim | Carncome 1,ogham,unattributed reading,0.061,far apart,,MAQI MUCOI,TORAESCEUSAS MAQI MUCOI MEUTINI,UE,TORAESCEUSAS MAQI MUCOI MEUTINI,UE
I-ANT-001,309,Carn Coim | Carncome 1,ogham,unattributed reading,0.121,far apart,,MAQI MUCOI,TORAESCEUSAS MAQI MUCOI MEUTINI,OI,TORAESCEUSAS MAQI MUCOI MEUTINI,OI
I-ANT-001,309,Carn Coim | Carncome 1,ogham,unattributed reading,0.061,far apart,,MAQI MUCOI,TORAESCEUSAS MAQI MUCOI MEUTINI,IO,TORAESCEUSAS MAQI MUCOI MEUTINI,IO
I-ANT-002,310,Carn Coim | Carncome 2,ogham,Macalister 1945,0.467,far apart,,MAQI,CAGINADI MAQI VOBARACI,CALINADI,CAGINADI MAQI VOBARACI,CALINADI
I-ANT-003,,Gartree,ogham,McQuillan 2003,0.632,diverging,,,AUVDNOCMOS,AEF NOCMS,AUVDNOCMOS,AEF NOCMS
I-ARM-001,311,Droim Conmhaoil | Drumconwell,ogham,Macalister 1945,0.895,close,,,DAENEGLO QETAI,DINEGLO QETAIS,DAENEGLO MAQI Q[E]TAI[---],DINEGLO MAQI QETAIS
I-CAR-001,15,Cluain Mhór | Clonmore,ogham,Macalister 1945,0.000,far apart,,,GUSCU,RENI,GUSCU,RENI
I-CLA-003,53,Inis | Ennis bead,ogham,Macalister 1945,0.143,far apart,,,DMVA VA,ATUCMLU,?DMVA?VA,ATUCMLU
I-COR-001,55,An Com Liath Thoir | Coomleagh East,ogham,Macalister 1945,0.167,far apart,ANM MAQI MUCOI,,TETA,ANM SAINA MAQ OGALA MUCOI TEMOCA,.. ? ..TETA,ANM SAINA MAQ OGALA MUCOI TEMOCA
I-COR-005,59,Baile na bPórtach | Ballynabortagh 1,ogham,Macalister 1945,0.480,far apart,,,U IAIBODAS RTAGNI,UIVAIBES,[---]U[---]IAIBODAS [---]RTAGNI,UIVAIBES
I-COR-005,59,Baile na bPórtach | Ballynabortagh 1,ogham,Rhys 1908,0.519,diverging,,,U IAIBODAS RTAGNI,VINIOBODAS,[---]U[---]IAIBODAS [---]RTAGNI,VINIOBODAS
I-COR-008,,Baile na bPórtach | Ballynabortagh 4,ogham,Ron 2009,0.800,close,,,DCA CIOT,LCACIOT,[---]DCA[---]CIOT,LCACIOT
I-COR-012,64,Gleann an Mhuilinn | Glenawillin 2,ogham,Macalister 1945,0.875,close,,,LODIMANI,LODIMONI,LODIMANI,LODIMONI
I-COR-012,64,Gleann an Mhuilinn | Glenawillin 2,ogham,Oke 1945,0.875,close,,,LODIMANI,LADIMANI,LODIMANI,LADIMANI
I-COR-020,72,Alltach | Aultagh,ogham,Macalister 1945,0.483,far apart,,,I UHE VHO ADVAS,UBEDABO ALTASI,I᚛UHE VHO (vac.) ADVAS,UBEDABO ALTASI.
I-COR-028,79,Gleann an Phúca | Glenaphuca 1,ogham,Bar 1897,0.833,close,MUCOI,,MUC COU,MUCOI,ILUNA MUC[---]COU,ILUNA MUC[OI...]
