ogham_id,ciic,title,county,country,custody,category,key,method,repository,observed
E-CON-001,470,Worthyvale,Cornwall,England,out in the landscape,in private or institutional grounds,grounds,matched “re-erected”,,The stone was removed from the riverside in 2024 and re-erected in a safer place above the river cliff by Cornwall Archaeological Unit and Historic England. Access is via The Arthurian Centre (entrance fees apply). Visited and recorded by the OG(H)AM project in April 2024. The stone was also re-recorded in 3D by Tom Goskar.
E-CON-002,466,Lannwenek | Lewannick 1,Cornwall,England,out in the landscape,in a churchyard,churchyard,matched “lych-gate”,,"Re-erected, the stone's current location is a few metres west of the lych-gate in St Martin's Churchyard, where it was examined and 3D recorded for the OG(H)AM project in April 2024."
E-CON-003,467,Lannwenek | Lewannick 2,Cornwall,England,"indoors, but visitable",inside a church,church,matched “ated inside the church”,,Currently located inside the church at the north or west end where it was examined and recorded by the OG(H)AM team in April 2024.
E-CON-004,484,Lanndohow | St Kew,Cornwall,England,"indoors, but visitable",inside a church,church,matched “inside St Kew church”,,"Now inside St Kew church at the west end of the nave, where it was examined and 3d recorded for the OG(H)AM project in April 2024."
E-CON-005,-,Pennwydh | Penwith,Cornwall,England,in an institution,museum or college,institution,repository,Royal Cornwall Museum,"Now in the Royal Cornwall Museum, where it was examined and 3d recorded for the OG(H)AM project in April 2024."
E-CON-X01,,Lewannick 3,Cornwall,England,lost or unlocated,lost or unlocated,lost,matched “now missing”,,A field visit in 1974 revealed that the stone is now missing from 'Moor View'. The present occupier of the cottage had lived there for 43 years but had no knowledge of the stone.
E-CON-X02,457,Lancarffe,Cornwall,England,out in the landscape,built into a structure,structure,matched “Built into”,,Built into the wall of a summer house in the garden of Lancarffe House by Mr Dunn in 1928.
E-CON-X03,473,St Clement,Cornwall,England,out in the landscape,in a churchyard,churchyard,matched “churchyard”,,"In St Clement churchyard, near the south door."
E-CON-X04,478,St Endellion,Cornwall,England,out in the landscape,in private or institutional grounds,grounds,matched “grass island”,,On a grass island at a junction about 1.5 km from St Endellion on the road to Port Quin.
E-DEV-001,489,Fardel,Devon,England,in an institution,museum or college,institution,repository,British Museum,Currently on display next to the Sutton Hoo treasure in the Medieval and Late Antique galleries in the British Museum. It was examined and 3d recorded for the OG(H)AM project in December 2023.
E-DEV-002,488,Roborough Down,Devon,England,out in the landscape,in private or institutional grounds,grounds,matched “Garden”,,"Now in Tavistock Vicarage Garden, where it was examined and 3d recorded for the OG(H)AM project in April 2024."
E-DEV-X01,,Brendon,Devon,England,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ.
E-HAM-001,496,Silchester,Hampshire,England,in an institution,museum or college,institution,repository,Reading Museum,"Now in Reading Museum. The stone is not on display, but stored in the Reading Museum storage facility."
E-NFK-001,,Weeting-with-Broomhill,Norfolk,England,in an institution,museum or college,institution,repository,Norwich Castle Museum,Now in Norwich Castle Museum.
E-STS-001,,Uttoxeter,Staffordshire,England,lost or unlocated,lost or unlocated,lost,matched “gone missing”,,The stone has since gone missing and is now lost.
E-WAR-001,,Coventry,Warwickshire,England,in an institution,museum or college,institution,repository,Herbert Art Gallery and Museum,"Now in the Herbert Art Gallery and Museum, where it was examined and 3d recorded for the OG(H)AM project in November 2023."
E-WRY-001,,Vale of York brooch fragment,West Riding of Yorkshire,England,in an institution,museum or college,institution,repository,British Museum,Acquired by the British Museum in 2009.
I-ANT-001,309,Carn Coim | Carncome 1,Co. Antrim,Northern Ireland,out in the landscape,built into a structure,structure,matched “souterrain”,,Currently in situ in the souterrain but inaccessible.
I-ANT-002,310,Carn Coim | Carncome 2,Co. Antrim,Northern Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,Now in the National Museum of Ireland collection. Examined and recorded using 3d structured light scanning in April 2017 in collaboration with the Discovery Programme as part of the Ogham in 3D project.
I-ANT-003,,Gartree,Co. Antrim,Northern Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ, where it was examined and recorded by members of the OG(H)AM project in July 2022."
I-ARM-001,311,Droim Conmhaoil | Drumconwell,Co. Armagh,Northern Ireland,in an institution,museum or college,institution,repository,Armagh Robinson library (No 5 Vicars’ Hill Museum),On display at Armagh Robinson Library (Museum at 5 Vicar’s Hill) where it was examined and recorded by members of the OG(H)AM project in July 2022.
I-CAR-001,15,Cluain Mhór | Clonmore,Co. Carlow,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ, where it was examined and recorded in 3d for the Ogham in 3D project in 2010."
I-CAR-002,,Tobar Phádraig | Patrickswell,Co. Carlow,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ, where it was examined and recorded in 3d for the Ogham in 3D project in 2017."
I-CAR-003,16,An Ráth Ghlas | Rathglass,Co. Carlow,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ, where it was examined and recorded in 3d for the Ogham in 3D project in 2017."
I-CAR-004,17,Tuca Mín | Tuckamine,Co. Carlow,Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,National Mumeum of Ireland (examined and 3D scanned in May 2011 as part of the Ogham in 3D project).
I-CLA-003,53,Inis | Ennis bead,Co. Clare,Ireland,in an institution,museum or college,institution,repository,British Museum,Now in the British Museum where it was examined and recorded by the OG(H)AM team in December 2023.
I-CLA-004,54,Cill Dalua | Killaloe,Co. Clare,Ireland,in an institution,institution named only in prose,institution_unrecorded,"named in the observed statement, but <repository> is empty",,"On display inside St. Flannan's Cathedral, Killaloe, where it was examined and recorded for the OG(H)AM project by Gary Dempsey (Atlantic Technological University) in July 2022."
I-CLA-005,,Inis Cathaigh | Scattery Island,Co. Clare,Ireland,"indoors, but visitable",visitor or heritage centre,visitor,matched “exhibition centre”,,"Now on display inside the refurbished exhibition centre on the island. Examined and recorded, in collaboration with the Discovery Programme, for the Ogham in 3D project in 2014."
I-COR-001,55,An Com Liath Thoir | Coomleagh East,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ in pasture, on a gentle south facing slope on the north side of the valley of the Mealagh River. It was visited and 3D recorded for the OG(H)AM project in September 2022."
I-COR-002,56,Ráth an Tóiteáin | Burnfort,Co. Cork,Ireland,lost or unlocated,lost or unlocated,lost,matched “Subsequently lost”,,"Subsequently lost from Museum of the Royal Cork Institution, probably when the Institution building was replaced by the Athenaeum in 1853 (Macalister 1945, 61)."
I-COR-003,57,Plácas | Greenhill 1,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “On find site”,,On find site at Greenhill where it was visited and 3D recorded for the Ogham in 3D project in August 2013.
I-COR-004,58,Plácas | Greenhill 2,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ (againt the field fence) at Greenhill where it was visited and 3D recorded for the Ogham in 3D project in August 2013.
I-COR-005,59,Baile na bPórtach | Ballynabortagh 1,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ in pasture, on a N-facing slope. Visited and 3D recorded for the Ogham in 3D project in August 2017."
I-COR-006,60,Baile na bPórtach | Ballynabortagh 2,Co. Cork,Ireland,not described,setting not described,undescribed,no observed statement in the edition,,
I-COR-007,,Baile na bPórtach | Ballynabortagh 3,Co. Cork,Ireland,out in the landscape,built into a structure,structure,matched “souterrain”,,In situ in souterrain. Visited and 3d recorded for the OG(H)AM project in September 2022.
I-COR-008,,Baile na bPórtach | Ballynabortagh 4,Co. Cork,Ireland,out in the landscape,built into a structure,structure,matched “souterrain”,,In situ in souterrain. Visited and 3D recorded for the OG(H)AM project in September 2022.
I-COR-009,61,Oileán an Easpaig | Bishop’s Island,Co. Cork,Ireland,in an institution,museum or college,institution,repository,University College Cork,"Now on permanent display in the Stone Corridor (‘Rúin na gCloch / Stories in Stone’ exhibition), University College Cork, where it was examined and photographed for the OG(H)AM project in May 2024."
I-COR-010,62,Dún Bolg | Dunbulloge,Co. Cork,Ireland,not described,setting not described,undescribed,no observed statement in the edition,,
I-COR-011,63,Gleann an Mhuilinn | Glenawillin 1,Co. Cork,Ireland,in an institution,museum or college,institution,repository,University College Cork,"Now on permanent display in the Stone Corridor (‘Rúin na gCloch / Stories in Stone’ exhibition), University College Cork, where it was examined and photographed for the OG(H)AM project in May 2024."
I-COR-012,64,Gleann an Mhuilinn | Glenawillin 2,Co. Cork,Ireland,out in the landscape,built into a structure,structure,matched “rath”,,Re-erected within the townland on the site of another now erased rath. Visited and recorded using photogrammetry for the Ogham in 3D project in 2017 (funded by a grant from Cork Historical and Archaeological Society).
I-COR-013,65,Ráth Ghobáin | Rathcobane,Co. Cork,Ireland,out in the landscape,in private or institutional grounds,grounds,matched “moved to”,,"In 1986, subsequent to a survey visit, the stone was moved to the grounds of Scoil an Easpaig O Briain, Bartlemy (SMR no. CO044-111----). The stone was examined and recorded at the school by the Ogham in 3D project in 2017."
I-COR-014,66,Fánchoill agus Na Coillte | Faunkill and the Woods,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “On a rock”,,On a rockcrop overlooking Ballycrovane Harbour to the west and better known as the Ballycrovane ogham stone. Visited and 3D recorded for the OG(H)AM project in August 2023.
I-COR-015,67,Gamhair | Gour,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ. Visited and 3D recorded for the OG(H)AM project in August 2023.
I-COR-016,68,Chill Cháscann | Kilcaskan,Co. Cork,Ireland,out in the landscape,in a churchyard,churchyard,matched “graveyard”,,In situ in Kilcaskan graveyard on the Beara Peninsula. Visited and 3D recorded for the OG(H)AM project in September 2022.
I-COR-017,69,Achadh Loiscthe | Ahalisky 1,Co. Cork,Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,"Now in the National Museum of Ireland, where it was examined and recorded in 3D (using Artec Eva structured light scanner) by the Discovery Programme for the Ogham in 3D project in 2015."
I-COR-018,70,Achadh Loiscthe | Ahalisky 2,Co. Cork,Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,"Now in the National Museum of Ireland, where it was examined and recorded, in collaboration with the Discovery Programme, for the Ogham in 3D project in 2013."
I-COR-019,71,Achadh Loiscthe | Ahalisky 3,Co. Cork,Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,"Now in the National Museum of Ireland, where it was examined and recorded by the Ogham in 3D project in 2010, with assistance from the Irish Inscribed Stones Project (Moore Institute, Galway)."
I-COR-020,72,Alltach | Aultagh,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ on a W-facing slope in Aultagh Wood (Power 1992, 124). Visited and recorded in September 2022 for the OG(H)AM project."
I-COR-021,73,Ceathrú Bhaldair | Carhoovauler 1,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,"In situ but no longer accessible. Last seen in 2012 by Jérôme and Laurent Triolet (who kindly supplied us with an image), assisted by James McCarthy."
I-COR-022,74,Ceathrú Bhaldair | Carhoovauler 2,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ but no longer accessible.
I-COR-023,,Ceathrú Bhaldair | Carhoovauler 3,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ but no longer accessible.
I-COR-024,75,Caoinráth | Keenrath,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ where it was visited and recorded using photogrammetry for the Ogham in 3D project in 2017.
I-COR-025,76,Teampall Brianaid Thuaidh | Templebryan North,Co. Cork,Ireland,out in the landscape,in situ or at the find site,in_situ,matched “In situ”,,In situ. Visited and recorded using photogrammetry by Simon Dowling in 2017.
I-COR-026,77,An Bhuirgéiseach | Burgatia,Co. Cork,Ireland,out in the landscape,in a churchyard,churchyard,matched “graveyard”,,"This stone could not be located in the graveyard and no local information about its whereabouts was gained (Ronan et al. 2009, no. 16164)."
I-COR-027,,Cúil an Fhéich | Coolineagh 3,Co. Cork,Ireland,in an institution,museum or college,institution,repository,"Pitt-Rivers Museum, Oxford",Donated to the Pitt-Rivers museum in Oxford in 1884.
I-COR-028,79,Gleann an Phúca | Glenaphuca 1,Co. Cork,Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,This stone is in the National Museum of Ireland. It was examined and recorded for the Ogham in 3D project in 2017.
I-COR-029,80,Gleann an Phúca | Glenaphuca 2,Co. Cork,Ireland,in an institution,museum or college,institution,repository,National Museum of Ireland,"Now in the National Museum of Ireland (Kildare St), Dublin (DU018-162----) where it was examined and recorded in 2010 for the Ogham in 3D project."
I-COR-030,81,An Garrán | Garranes,Co. Cork,Ireland,in an institution,museum or college,institution,repository,University College Cork,"Now on permanent display in the Stone Corridor (‘Rúin na gCloch / Stories in Stone’ exhibition), University College Cork, where it was examined and photographed for the OG(H)AM project in May 2024."
I-COR-031,82,Baile an Chamhaicigh Thuaidh | Ballyknock North 1,Co. Cork,Ireland,out in the landscape,in private or institutional grounds,grounds,matched “removed to”,,"This stone was retained by the farmer when 13 others were removed to University College Cork and Lismore Castle (CO055-007013-) in the early 20th century (Power 1932, 11; McManus 2004, 10-11). Macalister (1945, 85) saw the stone in 1907. However, when he returned to examine the stone before 1945, the farm was deserted and there was no trace of the stone (Power et al. 1994)."
I-COR-032,83,Baile an Chamhaicigh Thuaidh | Ballyknock North 2,Co. Cork,Ireland,in an institution,museum or college,institution,repository,University College Cork,"The stone is currently on permanent display in the Stone Corridor (‘Rúin na gCloch / Stories in Stone’ exhibition) at University College Cork, where it was examined and photographed for the OG(H)AM project in May 2024."
I-COR-033,84,Baile an Chamhaicigh Thuaidh | Ballyknock North 3,Co. Cork,Ireland,lost or unlocated,lost or unlocated,lost,matched “no visible surface”,,"The stone was lifted and read by Barry (1891, 521) and then replaced (it was never seen by Macalister). There is now no visible surface trace. Thirteen other stones were subsequently lifted by the occupiers; twelve of which are now on permanent display in the Stone Corridor, University College Cork."
I-COR-034,85,Baile an Chamhaicigh Thuaidh | Ballyknock North 4,Co. Cork,Ireland,in an institution,museum or college,institution,repository,University College Cork,"The stone is currently on permanent display in the Stone Corridor (‘Rúin na gCloch / Stories in Stone’ exhibition) at University College Cork, where it was examined and photographed for the OG(H)AM project in May 2024."
