id,series,series_label,series_note,gaps,ciic,cisp,cisp_url,cisp_url_state,title,place,county,keeper,geo_raw,gazetteer,status
W-BRE-003,,numbered,extant and catalogued,findspot hedged,345,YFLL2/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/yfll2_1.html,ok,Ystradfellte,,Brecknockshire,Cyfarthfa Museum,"51.809528, -3.553209",https://historicplacenames.rcahmw.gov.uk/placenames/recordedname/91839515-f596-49c4-9687-644651f5b094 | https://historicplacenames.rcahmw.gov.uk/placenames/recordedname/6d25abb9-918e-4aca-98ce-9c921395aec5,qualified
I-COR-009,,numbered,extant and catalogued,findspot hedged,61,BIISL/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/biisl_1.html,ok,Oileán an Easpaig | Bishop’s Island,Bishop’s Island,Co. Cork,University College Cork,"52.004, -8.358",https://www.logainm.ie/ga/10395,qualified
I-COR-020,,numbered,extant and catalogued,findspot hedged,72,AUTAG/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/autag_1.html,ok,Alltach | Aultagh,Aultagh,Co. Cork,,"51.770030, -9.09023",https://www.logainm.ie/ga/9686,qualified
I-FER-001,,numbered,extant and catalogued,no edition text,315,TMOUN/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/tmoun_1.html,identifier form,Mullach an Chnoic | Topped Mountain,Topped Mountain (also Toppid Mountain),Co. Fermanagh,"Ulster Museum, Belfast","54.3594, -7.5217",https://www.logainm.ie/en/121032,asserted
I-KER-034,,numbered,extant and catalogued,findspot hedged,166,BLHER/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/blher_1.html,identifier form,Baile an Bhóthair | Ballinvoher,Rathduff? Ballyandreen?,Co. Kerry,National Museum of Ireland,"52.168473 , -10.028213 (possible orig loc)",,qualified
I-KER-042,,numbered,extant and catalogued,findspot; no edition text,174,,,empty,Brandon Mountain,,Co. Kerry,,,,missing
I-KER-043,,numbered,extant and catalogued,findspot,175,BRHAM/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/brham_1.html,identifier form,Baile an Ghóilín | Burnham,Burnham East,Co. Kerry,,(original provenance is unrecorded),https://www.logainm.ie/en/22609,textual_only
I-KER-057,,numbered,extant and catalogued,no edition text,189,KINET/2,https://www.ucl.ac.uk/archaeology/cisp/database/stone/kinet_2.html,identifier form,Cinn Aird | Kinard East 2,Kinard East (Cinn Aird),Co. Kerry,,"52.12626, -10.19661",,asserted
I-KER-084,,numbered,extant and catalogued,findspot hedged,214,KLGOB/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/klgob_1.html,identifier form,Cill Ghobnait |Kilgobnet,Kilgobnet (Cill Ghobnait),Co. Kerry,,"52.063009 , -9.722075 (possible original location)",,qualified
I-KER-120,,numbered,extant and catalogued,findspot hedged,248,BAWGL/1,https://www.ucl.ac.uk/archaeology/cisp/database/stone/bawgl_1.html,identifier form,Bán an Ghleanna | Bawnaglanna,Bawnaglanna (Bán an Ghleanna),Co. Kerry,,"52.153985 , -9.443458 (approximate)",,qualified
